"Title","design domain","integration pattern (ip)","key contribution & evidence","method label","neural function (nf)","research problem","symbolic substrate (ss)"
"Periodic Graph Transformers for Crystal Material Property Prediction - Contribution","Materials","Type I (I)","Encodes crystal structure as periodic graphs with transformer attention over atomic environments. Achieves state-of-the-art on MatBench for formation energy and bandgap prediction. Symbolic periodicity constraints guide message passing.","Matformer","Surrogate (S)","Neuro-symbolic methods for product design","Knowledge Graph (K)"
"Material Property Prediction with Element Attribute Knowledge Graphs and Multimodal Representation Learning - Contribution","Materials","Type I (I)","Combines element-level knowledge graphs with crystal structure encodings for property prediction. KG embeddings provide compositional priors that improve generalization to novel materials.","MatKG","Surrogate (S)","Neuro-symbolic methods for product design","Knowledge Graph (K)"
"An ontology-based product design framework for manufacturability verification and knowledge reuse - Contribution","Design","Type I (I)","Uses manufacturing ontology to verify design feasibility and enable knowledge reuse across product families. Ontology-based constraints reduce design iterations by catching manufacturability issues early.","Onto-DFM","Surrogate (S)","Neuro-symbolic methods for product design","Ontology (O)"
"Fine-tuning Large Enterprise Language Models via Ontological Reasoning - Contribution","General","Type I (I)","Fine-tunes LLMs using ontology-derived training data and reasoning chains. Ontological structure improves domain adaptation and factual consistency in enterprise applications.","Onto-LLM","Generation (G)","Neuro-symbolic methods for product design","Ontology (O)"
"Graph neural network-enabled manufacturing method classification from engineering drawings - Contribution","Manufacturing","Type I (I)","Classifies manufacturing methods from engineering drawings using GNNs that encode geometric and topological features. Graph structure captures relational constraints between drawing elements.","GNN-MfgClass","Perception (P)","Neuro-symbolic methods for product design","Knowledge Graph (K)"
"Taxonomy-Informed Neural Networks for Smart Manufacturing - Contribution","Manufacturing","Type II (II)","Injects manufacturing taxonomy into neural architecture via hierarchical attention. Taxonomy-guided representations improve sample efficiency and interpretability for quality prediction.","TINN","Surrogate (S)","Neuro-symbolic methods for product design","Ontology (O)"
"NeSyGeo: A Neuro-Symbolic Framework for Multimodal Geometric Reasoning Data Generation - Contribution","Reasoning","Type II (II)","Generates geometric reasoning data by combining symbolic geometry solvers with neural rendering. Produces verified problem-solution pairs for training multimodal LLMs on geometric tasks.","NeSyGeo","Generation (G)","Neuro-symbolic methods for product design","Logic (L)"
"LLM4CAD: Multimodal Large Language Models for Three-Dimensional Computer-Aided Design Generation - Contribution","CAD","Type II (II)","Uses multimodal LLMs to generate CAD command sequences from text/image inputs. Symbolic CAD grammar constrains generation to valid parametric operations.","LLM4CAD","Generation (G)","Neuro-symbolic methods for product design","Rules (R)"
"OpenECAD: An efficient visual language model for editable 3D-CAD design - Contribution","CAD","Type II (II)","Vision-language model generates editable CAD scripts from images. Symbolic CAD representation enables downstream parametric editing and constraint satisfaction.","OpenECAD","Generation (G)","Neuro-symbolic methods for product design","Rules (R)"
"CadVLM: Bridging Language and Vision in the Generation of Parametric CAD Sketches - Contribution","CAD","Type II (II)","Generates parametric CAD sketches from multimodal inputs using vision-language pretraining. Symbolic sketch constraints (coincident, tangent, parallel) are respected in outputs.","CadVLM","Generation (G)","Neuro-symbolic methods for product design","Constraints (C)"
"Adaptive LLM-Symbolic Reasoning via Dynamic Logical Solver Composition - Contribution","Reasoning","Type II (II)","Dynamically composes logical solvers based on problem structure detected by LLM. Achieves better accuracy than fixed solver pipelines on heterogeneous reasoning tasks.","ADAPTOR","Optimization (O)","Neuro-symbolic methods for product design","Logic (L)"
"Do LLMs Really Adapt to Domains? An Ontology Learning Perspective - Contribution","Ontology","Type II (II)","Evaluates LLM domain adaptation through ontology learning task. Finds LLMs can extract taxonomic relations but struggle with domain-specific axioms without symbolic guidance.","LLM-OL","Surrogate (S)","Neuro-symbolic methods for product design","Ontology (O)"
"End-to-End Ontology Learning with Large Language Models - Contribution","Ontology","Type II (II)","End-to-end pipeline using LLMs to construct ontologies from text corpora. Combines neural extraction with symbolic consistency checking for valid ontology output.","OLLM","Generation (G)","Neuro-symbolic methods for product design","Ontology (O)"
"Voyager: An Open-Ended Embodied Agent with Large Language Models - Contribution","Control","Type II (II)","LLM-powered agent that generates executable code skills for Minecraft. Symbolic skill library enables compositional task solving and lifelong learning.","Voyager","Optimization (O)","Neuro-symbolic methods for product design","Rules (R)"
"KRISP: Integrating Implicit and Symbolic Knowledge for Open-Domain Knowledge-Based VQA - Contribution","VQA","Type II (II)","Combines implicit neural knowledge with explicit knowledge graph retrieval for VQA. Symbolic KG provides factual grounding that improves accuracy on knowledge-intensive questions.","KRISP","Perception (P)","Neuro-symbolic methods for product design","Knowledge Graph (K)"
"Advancing Sustainable Manufacturing: Reinforcement Learning with Adaptive Reward Machine Using an Ontology-Based Approach - Contribution","Manufacturing","Type III (III)","Uses ontology-based reward machines to structure RL for sustainable job shop scheduling. Ontology defines sustainability metrics; RL optimizes scheduling decisions.","Onto-RM","Optimization (O)","Neuro-symbolic methods for product design","Ontology (O)"
"ASAP: Automated Sequence Planning for Complex Robotic Assembly with Physical Feasibility - Contribution","Assembly","Type III (III)","Combines neural feasibility prediction with symbolic sequence planning for assembly. Neural module predicts physical feasibility; symbolic planner ensures valid sequences.","ASAP","Optimization (O)","Neuro-symbolic methods for product design","Rules (R)"
"Safe Reinforcement Learning via Shielding under Partial Observability - Contribution","Control","Type III (III)","Integrates belief-state shielding with deep RL for safe control under uncertainty. Symbolic shield blocks unsafe actions based on belief over hidden states.","BSRL","Optimization (O)","Neuro-symbolic methods for product design","Logic (L)"
"Towards robust shielded reinforcement learning through adaptive constraints and exploration: The fear field framework - Contribution","Control","Type III (III)","Proposes adaptive shielding that learns constraint boundaries during training. Fear field mechanism balances exploration with safety constraint satisfaction.","FearField","Optimization (O)","Neuro-symbolic methods for product design","Constraints (C)"
"End-to-End Neuro-Symbolic Reinforcement Learning with Textual Explanations - Contribution","Control","Type III (III)","Produces human-readable explanations alongside RL policy decisions. Symbolic explanation module provides interpretable rationales for control actions.","INSIGHT","Optimization (O)","Neuro-symbolic methods for product design","Logic (L)"
